university_name,university_url
Universidad Nacional Autónoma de México (UNAM),http://www.unam.mx/
Universidad Autónoma Agraria Antonio Narro (UAAAN),http://www.uaaan.mx/
Universidad Autónoma de Chapingo (UACh),http://www.chapingo.mx/
Universidad Abierta y a Distancia de México (UnADM),http://www.unadmexico.mx/
Universidad Pedagógica Nacional (UPN),http://www.upn.mx/
El Colegio de México (COLMEX),https://www.colmex.mx/
"Centro de Investigación y Docencia Económicas, A.C. (CIDE)",http://www.cide.mx/
Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Universidad Autónoma de Baja California,http://www.uabc.mx/
Universidad Autónoma de Baja California Sur,https://www.uabcs.mx/
Universidad Autónoma del Carmen,http://www.unacar.mx/#2
Universidad Autónoma de Coahuila,http://www.uadec.mx/
Universidad Autónoma de Chihuahua,https://uach.mx/
Universidad Juárez del Estado de Durango,https://www.ujed.mx/
Universidad de Guanajuato,http://www.ugto.mx/
Universidad Autónoma de Guerrero,https://www.uagro.mx/
Universidad Autónoma del Estado de Hidalgo,https://www.uaeh.edu.mx/
Universidad Autónoma del Estado de México,https://www.uaemex.mx/
Universidad de Michoacana de San Nicolás Hidalgo,https://www.umich.mx/
"Universidad Autónoma ""Benito Juárez"" de Oaxaca",http://www.uabjo.mx/
Benemérita Universidad Autónoma de Puebla,https://www.buap.mx/
Universidad Autónoma de Querétaro,https://www.uaq.mx/
Universidad Autónoma del Estado de Quintana Roo,http://www.uqroo.mx/
Universidad Autónoma de San Luis Potosí,http://www.uaslp.mx/
Universidad Autónoma de Sinaloa,http://www.uas.edu.mx/
Universidad Autónoma de Occidente,https://uadeo.mx/
Universidad de Sonora,https://www.unison.mx/
Instituto Tecnológico de Sonora,https://www.itson.mx/Paginas/index.aspx
Universidad Juárez Autónoma de Tabasco,http://www.ujat.mx/
Universidad Autónoma de Tamaulipas,https://www.uat.edu.mx/
Universidad Autónoma de Tlaxcala,https://www.uatx.mx/
Universidad Autónoma de Yucatán,http://www.uady.mx/
Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Instituto Campechano,http://instcamp.edu.mx/
Universidad de Ciencias y Artes de Chiapas,https://www.unicach.mx/
Universidad de la Ciénega de Michoacán de Ocampo,https://ucemich.edu.mx/
El Colegio de Morelos,https://elcolegiodemorelos.edu.mx/
Universidad del Mar,http://www.umar.mx/
Universidad Tecnológica de la Mixteca,http://www.utm.mx/
Universidad del Istmo,http://www.unistmo.edu.mx/
Universidad de la Sierra Sur,http://www.unsis.edu.mx/
Universidad del Papaloapan,https://www.unpa.edu.mx/
Universidad de la Cañada,https://www.unca.edu.mx/
Universidad de la Sierra Juárez,http://www.unsij.edu.mx/
Universidad Interserrana del Estado de Puebla-Ahuacatlán,http://www.uiepa.edu.mx/
Universidad Interserrana del Estado de Puebla-Chilchotla,http://uich.edu.mx/
Universidad Estatal de Sonora,https://www.ues.mx/
Universidad de la Sierra,http://www.unisierra.edu.mx/
El Colegio de Sonora,https://www.colson.edu.mx/
Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Universidad Intercultural de Campeche,https://uicam.edu.mx/
Universidad Intercultural de Chiapas,https://www.unich.edu.mx/
Universidad Intercultural de Colima,https://uicolima.edu.mx/
Universidad Intercultural del Estado de Guanajuato,https://uigto.edu.mx/
Universidad Intercultural del Estado de Guerrero,https://uiegedu.com/
Universidad Intercultural del Estado de Hidalgo,http://www.uiceh.edu.mx/
Universidad Intercultural del Estado de Puebla,https://www.uiep.edu.mx/
Universidad Intercultural Maya de Quintana Roo,http://www.uimqroo.edu.mx/
Universidad Intercultural de San Luis Potosí,http://www.uicslp.edu.mx/
Universidad Intercultural de Tlaxcala,https://uit.edu.mx/
Universidad Autónoma Indígena de México,http://uais.edu.mx/portal/
Universidad Intercultural del Estado de Tabasco,http://www.uiet.edu.mx/
Universidad del Pueblo Yaqui,https://uniyaqui.sonora.edu.mx/
Universidad Intercultural de Jalisco,https://www.uij.edu.mx/
Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Universidad Politécnica de Baja California,http://www.upbc.edu.mx/
Universidad Politécnica de Tapachula,http://www.uptapachula.edu.mx/
Universidad Politécnica de Chihuahua,http://www.upchihuahua.edu.mx/
Universidad Politécnica de Piedras Negras,https://uppn.edu.mx/
Universidad Politécnica de Ramos Arizpe,http://upra.mx/
Universidad Politécnica Cuencamé,http://www.upcuencame.edu.mx/portal/
Universidad Politécnica de Durango,http://www.unipolidgo.edu.mx/
Universidad Politécnica de Gómez Palacio,http://www.upgop.edu.mx/
Universidad Politécnica de Guanajuato,https://upgto.edu.mx/
Universidad Politécnica Juventino Rosas,http://www.upjr.edu.mx/
Universidad Politécnica de Pénjamo,http://www.uppenjamo.edu.mx/
Universidad Politécnica del Bicentenario,https://upbicentenario.edu.mx/
Universidad Politécnica del Estado de Guerrero,http://www.upeg.edu.mx/
Universidad Politécnica de Francisco I. Madero,http://www.upfim.edu.mx/
Universidad Politécnica de Huejutla,http://www.uphuejutla.edu.mx/
Universidad Politécnica de Pachuca,http://www.upp.edu.mx/
Universidad Politécnica de Tulancingo,http://www.upt.edu.mx/
Universidad Politécnica de la Zona Metropolitana de Guadalajara,http://www.upzmg.edu.mx/
Universidad Politécnica de Lázaro Cárdenas,http://www.uplc.edu.mx/
